Ýl;"Çöp ve çevresel atýk toplama hizmeti
";"Kanalizasyon hizmeti
";"Þebeke suyu hizmeti
";"Toplu taþýma hizmeti
";"Sosyal Güvenlik Kurumu hizmetleri
";"Saðlýk hizmetleri
";"Eðitim hizmetleri
";"Adli hizmetler
";"Asayiþ hizmetleri
";"Ulaþtýrma hizmetleri
";"Yol/kaldýrým yapýmý hizmeti
";"Iþýklandýrma hizmeti
";"Sokak levhalarý ve dýþ kapý numaralandýrma hizmetleri
"
Adana;69,5;58,1;67,9;56,3;63,4;72,5;63,9;58,2;76,6;71,3;51,1;67,4;69,7
Adýyaman;39,6;36,6;42,4;36,7;73,2;74,6;69;38,5;82,8;70,3;32,9;39,5;34,8
Afyonkarahisar;72,35;76,15;77,01;74,24;85,97;87,33;88,89;73,6;91,15;94,22;62,78;80,89;83,96
Aksaray;66,34;62,91;44,2;39,27;81,79;81,6;81,09;51,15;89,56;80,89;46,22;64,27;58,79
Amasya;79,27;80,41;74,37;73,36;88,58;86,51;87,53;81,11;92,29;91,79;64,48;89,41;88,73
Ankara;76,53;72,87;73,67;62,19;64,49;68,11;57,97;42,86;71,55;71,24;58,59;75,44;71,35
Antalya;77,15;57,96;65,78;54,2;62,03;68,74;62,24;37,36;75,97;67,11;56,04;72,2;66,74
Ardahan;38,26;46,42;45,92;46,01;68,88;72,38;72,76;63,1;84,12;75,8;40,11;54,97;58,43
Artvin;71,42;70,19;66,37;65,34;85,36;80,13;83,15;82,28;94,86;80,85;60,09;79,84;72,35
Aydýn;77,08;70,63;77,12;63,85;71,75;78,03;70,83;49,8;82,23;82,28;66,2;82,35;80,82
Aðrý;39,28;43,86;41,82;48,54;58,26;63,31;65,27;51,07;76,91;66,3;42,23;44,52;55,16
Balýkesir;75,47;71,63;73,77;74,07;84,24;83,01;82,68;74,02;88,73;88,82;67,25;76,25;75,53
Bartýn;75,97;76,16;63,83;68,96;67,63;81,28;78,59;51,91;91,26;80,47;67,65;85,24;79,84
Batman;56,05;59,04;62,02;49,63;57,11;70,14;66,28;42,11;70,9;70,07;44,3;50,85;61,85
Bayburt;51,19;58,71;44,37;52,15;63,2;75,71;72,93;48,27;82,59;76,72;47,15;70,03;59,67
Bilecik;78,05;80,26;77,14;70,5;78,17;81,52;76,8;62,94;89,91;85,69;73,63;84,14;85,94
Bingöl;48,24;50,67;42,77;42,56;56,45;66,76;68,26;47,53;84,12;64,54;40,48;52,91;51,36
Bitlis;51,37;54,17;48;49,23;57,51;72,52;68,97;44,35;85,74;65,18;44,96;54,54;57,8
